State,District,Market,Commodity Group,Commodity,Date,MSP,Arrival Quantity,Arrival Unit,Min Price ,Modal Price,Max Price,Price Unit
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,14-07-23,0,0.1,Metric Tonnes,7050,7100,7150,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,15-07-23,-,0.1,Metric Tonnes,5160,5200,5240,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,15-07-23,0,2,Metric Tonnes,1260,1300,1340,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,15-07-23,0,105,Metric Tonnes,960,995,1030,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,15-07-23,0,0.1,Metric Tonnes,7300,7350,7400,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,16-07-23,-,0.1,Metric Tonnes,4650,4700,4750,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,16-07-23,0,2.3,Metric Tonnes,1250,1300,1350,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,16-07-23,0,140,Metric Tonnes,950,985,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,16-07-23,0,0.1,Metric Tonnes,7450,7500,7550,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,17-07-23,-,0.1,Metric Tonnes,4150,4200,4250,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,17-07-23,0,2.2,Metric Tonnes,1280,1310,1340,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,17-07-23,0,145,Metric Tonnes,950,975,1000,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,17-07-23,0,0.1,Metric Tonnes,7500,7530,7560,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,18-07-23,-,0.1,Metric Tonnes,4060,4100,4140,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,18-07-23,0,1.9,Metric Tonnes,1300,1330,1360,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,18-07-23,0,143,Metric Tonnes,940,970,1000,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,18-07-23,0,0.1,Metric Tonnes,7450,7500,7550,Rs./Quintal
